date,AQI
01/01/2017,30
01/01/2017,32
01/01/2017,31
01/01/2018,41
01/01/2018,35
01/01/2018,44
01/01/2019,36
01/01/2019,38
01/01/2019,33
01/01/2020,34
01/01/2020,34
01/01/2020,34
01/01/2021,36
01/01/2021,39
01/01/2021,35
01/01/2022,40
01/01/2022,39
01/01/2022,38
01/01/2023,32
01/01/2023,31
01/01/2023,33
01/01/2024,31
01/01/2024,32
01/01/2024,36
01/02/2017,26
01/02/2017,31
01/02/2017,31
01/02/2018,30
01/02/2018,29
01/02/2018,31
01/02/2019,38
01/02/2019,37
01/02/2019,36
01/02/2020,35
01/02/2020,32
01/02/2020,31
01/02/2021,31
01/02/2021,35
01/02/2021,32
01/02/2022,30
01/02/2022,36
01/02/2022,32
01/02/2023,25
01/02/2023,26
01/02/2023,26
01/02/2024,28
01/02/2024,31
01/02/2024,32
01/03/2017,19
01/03/2017,23
01/03/2017,19
01/03/2018,12
01/03/2018,19
01/03/2018,11
01/03/2019,25
01/03/2019,33
01/03/2019,23
01/03/2020,26
01/03/2020,26
01/03/2020,26
01/03/2021,31
01/03/2021,38
01/03/2021,35
01/03/2022,19
01/03/2022,27
01/03/2022,25
01/03/2023,28
01/03/2023,28
01/03/2023,26
01/03/2024,27
01/03/2024,25
01/03/2024,35
01/04/2017,17
01/04/2017,23
01/04/2017,24
01/04/2018,19
01/04/2018,26
01/04/2018,28
01/04/2019,20
01/04/2019,31
01/04/2019,23
01/04/2020,29
01/04/2020,31
01/04/2020,31
01/04/2021,27
01/04/2021,28
01/04/2021,26
01/04/2022,20
01/04/2022,28
01/04/2022,27
01/04/2023,27
01/04/2023,24
01/04/2023,23
01/04/2024,27
01/04/2024,37
01/04/2024,28
01/05/2017,18
01/05/2017,23
01/05/2017,25
01/05/2018,18
01/05/2018,24
01/05/2018,22
01/05/2019,21
01/05/2019,22
01/05/2019,10
01/05/2020,41
01/05/2020,34
01/05/2020,37
01/05/2021,20
01/05/2021,34
01/05/2021,20
01/05/2022,23
01/05/2022,27
01/05/2022,18
01/05/2023,27
01/05/2023,31
01/05/2023,35
01/05/2024,25
01/05/2024,30
01/05/2024,24
01/06/2017,23
01/06/2017,31
01/06/2017,28
01/06/2018,21
01/06/2018,26
01/06/2018,25
01/06/2019,34
01/06/2019,34
01/06/2019,33
01/06/2020,36
01/06/2020,31
01/06/2020,35
01/06/2021,21
01/06/2021,28
01/06/2021,25
01/06/2022,26
01/06/2022,30
01/06/2022,19
01/06/2023,27
01/06/2023,31
01/06/2023,31
01/06/2024,31
01/06/2024,33
01/06/2024,35
01/07/2017,25
01/07/2017,26
01/07/2017,20
01/07/2018,30
01/07/2018,32
01/07/2018,33
01/07/2019,31
01/07/2019,32
01/07/2019,27
01/07/2020,24
01/07/2020,27
01/07/2020,25
01/07/2021,27
01/07/2021,33
01/07/2021,29
01/07/2022,24
01/07/2022,27
01/07/2022,29
01/07/2023,26
01/07/2023,30
01/07/2023,26
01/07/2024,33
01/07/2024,35
01/07/2024,36
01/08/2017,24
01/08/2017,27
01/08/2017,29
01/08/2018,16
01/08/2018,15
01/08/2018,9
01/08/2019,32
01/08/2019,30
01/08/2020,25
01/08/2020,21
01/08/2020,28
01/08/2021,18
01/08/2021,27
01/08/2021,21
01/08/2022,35
01/08/2022,36
01/08/2022,36
01/08/2023,30
01/08/2023,31
01/08/2023,30
01/08/2024,34
01/08/2024,34
01/08/2024,33
01/09/2017,14
01/09/2017,19
01/09/2017,17
01/09/2018,29
01/09/2018,31
01/09/2018,31
01/09/2019,26
01/09/2019,23
01/09/2020,22
01/09/2020,25
01/09/2020,24
01/09/2021,39
01/09/2021,40
01/09/2021,36
01/09/2022,39
01/09/2022,37
01/09/2022,36
01/09/2023,24
01/09/2023,27
01/09/2023,28
01/09/2024,22
01/09/2024,26
01/09/2024,27
01/10/2017,23
01/10/2017,29
01/10/2017,20
01/10/2018,24
01/10/2018,30
01/10/2018,26
01/10/2019,18
01/10/2019,25
01/10/2019,23
01/10/2020,22
01/10/2020,20
01/10/2021,33
01/10/2021,37
01/10/2021,31
01/10/2022,41
01/10/2022,31
01/10/2022,36
01/10/2023,28
01/10/2023,32
01/10/2023,32
01/10/2024,25
01/10/2024,26
01/10/2024,29
01/11/2017,30
01/11/2017,34
01/11/2018,17
01/11/2018,18
01/11/2018,19
01/11/2019,20
01/11/2019,22
01/11/2019,19
01/11/2020,31
01/11/2020,28
01/11/2020,28
01/11/2021,36
01/11/2021,35
01/11/2021,32
01/11/2022,37
01/11/2022,31
01/11/2022,38
01/11/2023,21
01/11/2023,27
01/11/2023,22
01/11/2024,34
01/11/2024,38
01/11/2024,37
01/12/2017,16
01/12/2017,26
01/12/2017,24
01/12/2018,42
01/12/2018,30
01/12/2018,29
01/12/2019,32
01/12/2019,32
01/12/2019,30
01/12/2020,33
01/12/2020,31
01/12/2020,34
01/12/2021,21
01/12/2021,33
01/12/2021,30
01/12/2022,23
01/12/2023,14
01/12/2023,21
01/12/2023,22
01/12/2024,25
01/12/2024,31
01/13/2017,22
01/13/2017,28
01/13/2018,42
01/13/2018,38
01/13/2018,37
01/13/2019,29
01/13/2019,36
01/13/2019,31
01/13/2020,30
01/13/2020,32
01/13/2020,31
01/13/2021,24
01/13/2021,33
01/13/2021,22
01/13/2022,4
01/13/2023,17
01/13/2023,19
01/13/2023,23
01/13/2024,32
01/13/2024,34
01/13/2024,37
01/14/2017,32
01/14/2017,34
01/14/2017,33
01/14/2018,37
01/14/2018,38
01/14/2018,32
01/14/2019,23
01/14/2019,19
01/14/2019,25
01/14/2020,29
01/14/2020,31
01/14/2020,32
01/14/2021,35
01/14/2021,39
01/14/2021,34
01/14/2022,35
01/14/2023,29
01/14/2023,31
01/14/2023,31
01/14/2024,39
01/14/2024,39
01/14/2024,41
01/15/2017,26
01/15/2017,33
01/15/2017,31
01/15/2018,26
01/15/2018,30
01/15/2018,29
01/15/2019,36
01/15/2019,28
01/15/2020,21
01/15/2020,24
01/15/2020,28
01/15/2021,36
01/15/2021,36
01/15/2021,36
01/15/2022,23
01/15/2022,23
01/15/2022,34
01/15/2023,32
01/15/2023,32
01/15/2023,31
01/15/2024,26
01/15/2024,31
01/15/2024,35
01/16/2017,39
01/16/2017,36
01/16/2017,37
01/16/2018,17
01/16/2018,20
01/16/2018,18
01/16/2019,22
01/16/2019,26
01/16/2019,26
01/16/2020,38
01/16/2021,38
01/16/2021,37
01/16/2021,34
01/16/2022,33
01/16/2022,36
01/16/2022,34
01/16/2023,33
01/16/2023,34
01/16/2023,36
01/16/2024,22
01/16/2024,26
01/16/2024,30
01/17/2017,28
01/17/2017,33
01/17/2017,27
01/17/2018,24
01/17/2018,31
01/17/2018,32
01/17/2019,18
01/17/2019,21
01/17/2019,19
01/17/2020,27
01/17/2020,31
01/17/2020,28
01/17/2021,39
01/17/2021,40
01/17/2021,37
01/17/2022,18
01/17/2022,15
01/17/2022,18
01/17/2023,30
01/17/2023,31
01/17/2023,31
01/17/2024,20
01/17/2024,22
01/17/2024,30
01/18/2017,20
01/18/2017,24
01/18/2017,29
01/18/2018,32
01/18/2018,32
01/18/2018,38
01/18/2019,20
01/18/2019,25
01/18/2019,26
01/18/2020,34
01/18/2020,31
01/18/2020,38
01/18/2021,33
01/18/2021,37
01/18/2021,33
01/18/2022,25
01/18/2022,31
01/18/2023,25
01/18/2023,24
01/18/2023,27
01/18/2024,26
01/18/2024,36
01/19/2017,32
01/19/2017,39
01/19/2017,38
01/19/2018,34
01/19/2018,32
01/19/2018,35
01/19/2019,29
01/19/2019,33
01/19/2019,30
01/19/2020,27
01/19/2020,31
01/19/2020,34
01/19/2021,33
01/19/2021,37
01/19/2021,32
01/19/2022,35
01/19/2022,24
01/19/2023,28
01/19/2023,31
01/19/2024,26
01/20/2017,28
01/20/2017,35
01/20/2017,36
01/20/2018,31
01/20/2018,37
01/20/2018,34
01/20/2019,27
01/20/2019,30
01/20/2019,27
01/20/2020,15
01/20/2020,7
01/20/2020,18
01/20/2021,31
01/20/2021,32
01/20/2021,30
01/20/2022,38
01/20/2022,34
01/20/2022,35
01/20/2023,35
01/20/2023,34
01/20/2023,33
01/20/2024,19
01/20/2024,17
01/20/2024,18
01/21/2017,29
01/21/2017,37
01/21/2017,35
01/21/2018,31
01/21/2018,35
01/21/2018,31
01/21/2019,33
01/21/2019,38
01/21/2019,34
01/21/2020,25
01/21/2020,26
01/21/2020,30
01/21/2021,26
01/21/2021,33
01/21/2021,33
01/21/2022,36
01/21/2022,37
01/21/2022,35
01/21/2023,34
01/21/2023,33
01/21/2023,33
01/21/2024,30
01/21/2024,34
01/21/2024,31
01/22/2017,29
01/22/2017,36
01/22/2017,36
01/22/2018,24
01/22/2018,33
01/22/2018,31
01/22/2019,43
01/22/2019,36
01/22/2020,27
01/22/2020,29
01/22/2020,33
01/22/2021,31
01/22/2021,37
01/22/2021,35
01/22/2022,38
01/22/2022,37
01/22/2022,35
01/22/2023,36
01/22/2023,37
01/22/2023,35
01/22/2024,27
01/22/2024,26
01/22/2024,26
01/23/2017,27
01/23/2017,34
01/23/2017,36
01/23/2018,35
01/23/2018,31
01/23/2019,24
01/23/2019,29
01/23/2019,26
01/23/2020,26
01/23/2020,33
01/23/2020,30
01/23/2021,25
01/23/2021,31
01/23/2021,26
01/23/2022,39
01/23/2022,37
01/23/2022,36
01/23/2023,37
01/23/2023,36
01/23/2023,35
01/23/2024,31
01/24/2017,27
01/24/2017,35
01/24/2017,33
01/24/2018,29
01/24/2018,35
01/24/2018,31
01/24/2019,39
01/24/2019,35
01/24/2020,25
01/24/2020,28
01/24/2020,30
01/24/2021,31
01/24/2021,36
01/24/2021,33
01/24/2022,30
01/24/2022,29
01/24/2022,33
01/24/2023,37
01/24/2023,19
01/24/2023,34
01/24/2024,20
01/24/2024,19
01/24/2024,25
01/25/2017,27
01/25/2017,32
01/25/2017,31
01/25/2018,26
01/25/2018,27
01/25/2018,30
01/25/2019,38
01/25/2019,41
01/25/2019,36
01/25/2020,27
01/25/2020,33
01/25/2020,29
01/25/2021,28
01/25/2021,34
01/25/2021,34
01/25/2022,40
01/25/2022,41
01/25/2022,38
01/25/2023,37
01/25/2023,38
01/25/2023,36
01/25/2024,26
01/25/2024,28
01/25/2024,30
01/26/2017,41
01/26/2017,36
01/26/2018,36
01/26/2018,39
01/26/2018,34
01/26/2019,44
01/26/2019,46
01/26/2019,40
01/26/2020,27
01/26/2020,28
01/26/2020,26
01/26/2021,27
01/26/2021,32
01/26/2021,31
01/26/2022,34
01/26/2022,38
01/26/2022,35
01/26/2023,38
01/26/2023,37
01/26/2023,36
01/26/2024,41
01/26/2024,38
01/27/2017,43
01/27/2017,38
01/27/2018,42
01/27/2018,39
01/27/2018,38
01/27/2019,40
01/27/2019,42
01/27/2019,39
01/27/2020,28
01/27/2020,31
01/27/2020,29
01/27/2021,31
01/27/2021,34
01/27/2021,33
01/27/2022,43
01/27/2022,36
01/27/2022,35
01/27/2023,29
01/27/2023,30
01/27/2023,32
01/27/2024,41
01/27/2024,37
01/27/2024,35
01/28/2017,41
01/28/2017,43
01/28/2017,42
01/28/2018,38
01/28/2018,39
01/28/2018,35
01/28/2019,18
01/28/2019,16
01/28/2019,15
01/28/2020,27
01/28/2020,30
01/28/2020,31
01/28/2021,31
01/28/2021,36
01/28/2021,34
01/28/2022,43
01/28/2022,37
01/28/2022,39
01/28/2023,36
01/28/2023,38
01/28/2023,35
01/28/2024,36
01/28/2024,35
01/28/2024,35
01/29/2017,39
01/29/2017,42
01/29/2017,41
01/29/2018,36
01/29/2018,34
01/29/2018,32
01/29/2019,24
01/29/2019,19
01/29/2019,31
01/29/2020,39
01/29/2020,39
01/29/2020,37
01/29/2021,25
01/29/2021,32
01/29/2021,29
01/29/2022,24
01/29/2022,30
01/29/2022,28
01/29/2023,32
01/29/2023,35
01/29/2023,36
01/29/2024,30
01/29/2024,36
01/29/2024,31
01/30/2017,24
01/30/2017,37
01/30/2017,29
01/30/2018,18
01/30/2018,23
01/30/2018,20
01/30/2019,22
01/30/2019,22
01/30/2019,31
01/30/2020,37
01/30/2020,37
01/30/2020,36
01/30/2021,30
01/30/2021,36
01/30/2021,32
01/30/2022,34
01/30/2022,36
01/30/2022,33
01/30/2023,36
01/30/2023,33
01/30/2023,34
01/30/2024,31
01/30/2024,38
01/30/2024,39
01/31/2017,34
01/31/2017,34
01/31/2018,26
01/31/2018,30
01/31/2018,33
01/31/2019,18
01/31/2019,24
01/31/2019,19
01/31/2020,32
01/31/2020,36
01/31/2020,32
01/31/2021,31
01/31/2021,36
01/31/2021,34
01/31/2022,14
01/31/2022,24
01/31/2022,22
01/31/2023,42
01/31/2023,39
01/31/2023,38
01/31/2024,40
01/31/2024,39
01/31/2024,42
02/01/2017,34
02/01/2017,36
02/01/2017,37
02/01/2018,24
02/01/2018,35
02/01/2018,36
02/01/2019,26
02/01/2019,29
02/01/2020,35
02/01/2020,38
02/01/2020,32
02/01/2021,6
02/01/2021,11
02/01/2021,9
02/01/2022,37
02/01/2022,36
02/01/2022,32
02/01/2023,38
02/01/2023,38
02/01/2023,38
02/01/2024,31
02/01/2024,28
02/01/2024,29
02/02/2017,26
02/02/2017,33
02/02/2017,32
02/02/2018,31
02/02/2018,38
02/02/2018,40
02/02/2019,31
02/02/2019,34
02/02/2019,30
02/02/2020,39
02/02/2020,43
02/02/2020,38
02/02/2021,24
02/02/2021,28
02/02/2021,29
02/02/2022,40
02/02/2022,42
02/02/2022,38
02/02/2023,33
02/02/2023,31
02/02/2024,33
02/02/2024,35
02/02/2024,38
02/03/2017,16
02/03/2017,19
02/03/2017,14
02/03/2018,51
02/03/2018,38
02/03/2018,45
02/03/2019,33
02/03/2019,34
02/03/2019,32
02/03/2020,39
02/03/2020,40
02/03/2020,37
02/03/2021,27
02/03/2021,35
02/03/2021,34
02/03/2022,39
02/03/2023,22
02/03/2023,29
02/03/2023,28
02/03/2024,38
02/03/2024,40
02/03/2024,40
02/04/2017,25
02/04/2017,31
02/04/2017,31
02/04/2018,49
02/04/2018,48
02/04/2018,58
02/04/2019,31
02/04/2019,35
02/04/2019,33
02/04/2020,39
02/04/2020,40
02/04/2020,37
02/04/2021,40
02/04/2021,38
02/04/2022,38
02/04/2022,36
02/04/2023,36
02/04/2023,37
02/04/2023,36
02/04/2024,33
02/04/2024,36
02/04/2024,36
02/05/2017,24
02/05/2017,24
02/05/2017,27
02/05/2018,38
02/05/2018,41
02/05/2018,44
02/05/2019,33
02/05/2019,39
02/05/2019,35
02/05/2020,25
02/05/2020,26
02/05/2020,28
02/05/2021,34
02/05/2021,35
02/05/2022,44
02/05/2022,41
02/05/2022,40
02/05/2023,34
02/05/2023,36
02/05/2023,37
02/05/2024,25
02/05/2024,25
02/05/2024,28
02/06/2017,17
02/06/2017,23
02/06/2017,24
02/06/2018,43
02/06/2018,42
02/06/2018,38
02/06/2019,31
02/06/2019,32
02/06/2019,31
02/06/2020,24
02/06/2020,25
02/06/2020,32
02/06/2021,45
02/06/2021,38
02/06/2022,44
02/06/2022,43
02/06/2022,40
02/06/2023,35
02/06/2023,37
02/06/2023,36
02/06/2024,31
02/06/2024,31
02/06/2024,28
02/07/2017,16
02/07/2017,19
02/07/2017,20
02/07/2018,44
02/07/2018,39
02/07/2019,37
02/07/2019,41
02/07/2019,35
02/07/2020,29
02/07/2020,28
02/07/2020,34
02/07/2021,42
02/07/2021,48
02/07/2021,47
02/07/2022,42
02/07/2022,40
02/07/2022,37
02/07/2023,38
02/07/2023,36
02/07/2023,37
02/07/2024,31
