date,AQI
01/01/2017,54
01/02/2017,46
01/03/2017,53
01/04/2017,70
01/05/2017,54
01/06/2017,48
01/07/2017,48
01/08/2017,33
01/09/2017,49
01/10/2017,52
01/11/2017,35
01/12/2017,35
01/13/2017,41
01/14/2017,55
01/15/2017,53
01/16/2017,56
01/17/2017,49
01/18/2017,61
01/19/2017,43
01/20/2017,35
01/21/2017,52
01/22/2017,36
01/23/2017,35
01/24/2017,44
01/25/2017,59
01/26/2017,59
01/27/2017,30
01/28/2017,27
01/29/2017,22
01/30/2017,28
01/31/2017,55
02/01/2017,58
02/02/2017,59
02/03/2017,75
02/04/2017,50
02/05/2017,76
02/06/2017,43
02/07/2017,43
02/08/2017,50
02/09/2017,54
02/10/2017,76
02/11/2017,52
02/12/2017,42
02/13/2017,29
02/14/2017,61
02/15/2017,39
02/16/2017,55
02/17/2017,41
02/18/2017,30
02/19/2017,34
02/20/2017,43
02/21/2017,57
02/22/2017,43
02/23/2017,39
02/24/2017,49
02/25/2017,61
02/26/2017,30
02/27/2017,45
02/28/2017,63
03/01/2017,39
03/02/2017,27
03/03/2017,21
03/04/2017,39
03/05/2017,38
03/06/2017,37
03/07/2017,41
03/08/2017,43
03/09/2017,57
03/17/2017,74
03/18/2017,77
03/19/2017,62
03/20/2017,70
03/21/2017,55
03/22/2017,42
03/23/2017,48
03/29/2017,35
03/30/2017,45
03/31/2017,54
04/01/2017,56
04/02/2017,54
04/03/2017,59
04/04/2017,66
04/05/2017,53
04/06/2017,57
04/07/2017,66
04/08/2017,44
04/09/2017,45
04/10/2017,55
04/11/2017,63
04/12/2017,58
04/13/2017,37
04/14/2017,41
04/15/2017,54
04/16/2017,56
04/17/2017,43
04/18/2017,42
04/19/2017,52
04/20/2017,55
04/21/2017,52
04/22/2017,53
04/23/2017,59
04/24/2017,64
04/25/2017,55
04/26/2017,58
04/27/2017,56
04/28/2017,54
04/29/2017,25
04/30/2017,40
05/01/2017,55
05/02/2017,64
05/03/2017,71
05/04/2017,74
05/05/2017,79
05/06/2017,43
05/07/2017,25
05/08/2017,57
05/09/2017,62
05/10/2017,51
05/11/2017,67
05/12/2017,69
05/13/2017,63
05/14/2017,53
05/15/2017,45
05/16/2017,53
05/17/2017,45
05/18/2017,50
05/19/2017,40
05/20/2017,31
05/21/2017,40
05/22/2017,65
05/23/2017,72
05/24/2017,64
05/25/2017,42
05/26/2017,34
05/27/2017,47
05/28/2017,56
05/29/2017,65
05/30/2017,79
05/31/2017,83
06/01/2017,74
06/02/2017,83
06/03/2017,77
06/04/2017,80
06/05/2017,74
06/06/2017,78
06/07/2017,76
06/08/2017,69
06/09/2017,60
06/10/2017,51
06/11/2017,42
06/12/2017,53
06/13/2017,59
06/14/2017,63
06/15/2017,64
06/16/2017,63
06/17/2017,66
06/18/2017,67
06/19/2017,71
06/20/2017,76
06/21/2017,79
06/22/2017,77
06/23/2017,75
06/24/2017,73
06/25/2017,74
06/26/2017,58
06/27/2017,51
06/28/2017,58
06/29/2017,95
06/30/2017,81
07/01/2017,79
07/02/2017,69
07/03/2017,71
07/04/2017,77
07/05/2017,145
07/06/2017,77
07/07/2017,86
07/08/2017,84
07/09/2017,75
07/10/2017,72
07/11/2017,61
07/12/2017,65
07/13/2017,65
07/14/2017,71
07/15/2017,73
07/16/2017,78
07/17/2017,73
07/18/2017,70
07/19/2017,72
07/20/2017,66
07/21/2017,77
07/22/2017,82
07/23/2017,72
07/24/2017,67
07/25/2017,66
07/26/2017,60
07/27/2017,60
07/28/2017,64
07/29/2017,66
07/30/2017,72
07/31/2017,71
08/01/2017,65
08/02/2017,76
08/03/2017,77
08/04/2017,66
08/05/2017,64
08/06/2017,65
08/07/2017,74
08/08/2017,77
08/09/2017,79
08/10/2017,84
08/11/2017,81
08/12/2017,81
08/13/2017,85
08/18/2017,72
08/19/2017,70
08/20/2017,66
08/21/2017,70
08/22/2017,67
08/23/2017,77
08/24/2017,87
08/25/2017,92
08/26/2017,82
08/27/2017,72
08/28/2017,74
08/29/2017,77
08/30/2017,86
08/31/2017,58
09/01/2017,63
09/02/2017,68
09/03/2017,67
09/04/2017,60
09/05/2017,69
09/06/2017,66
09/07/2017,71
09/08/2017,76
09/09/2017,73
09/10/2017,67
09/11/2017,68
09/12/2017,65
09/13/2017,65
09/14/2017,56
09/15/2017,54
09/16/2017,64
09/17/2017,60
09/18/2017,79
09/19/2017,69
09/20/2017,64
09/21/2017,50
09/22/2017,54
09/23/2017,57
09/24/2017,51
09/25/2017,38
09/26/2017,55
09/27/2017,63
09/28/2017,59
09/29/2017,56
09/30/2017,69
10/01/2017,68
10/02/2017,60
10/03/2017,66
10/04/2017,64
10/05/2017,63
10/06/2017,63
10/07/2017,54
10/08/2017,67
10/09/2017,57
10/10/2017,56
10/11/2017,74
10/12/2017,82
10/13/2017,89
10/14/2017,82
10/15/2017,57
10/16/2017,55
10/17/2017,62
10/18/2017,80
10/19/2017,88
10/20/2017,55
10/21/2017,57
10/22/2017,42
10/23/2017,41
10/24/2017,35
10/25/2017,50
10/26/2017,62
10/27/2017,70
10/28/2017,88
10/29/2017,100
10/30/2017,58
10/31/2017,55
11/01/2017,55
11/02/2017,40
11/03/2017,51
11/08/2017,55
11/09/2017,54
11/10/2017,71
11/11/2017,81
11/12/2017,115
11/13/2017,116
11/14/2017,100
11/15/2017,95
11/16/2017,85
11/17/2017,61
11/18/2017,62
11/19/2017,40
11/20/2017,58
11/21/2017,43
11/22/2017,41
11/23/2017,37
11/24/2017,51
11/25/2017,62
11/26/2017,97
11/27/2017,75
11/28/2017,45
11/29/2017,57
11/30/2017,62
