"Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS",60711004,3,13.6,"ug/m3 LC",54,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/02/2017","AQS",60711004,3,11,"ug/m3 LC",46,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/03/2017","AQS",60711004,3,12.9,"ug/m3 LC",53,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/04/2017","AQS",60711004,3,20.9,"ug/m3 LC",70,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/05/2017","AQS",60711004,3,13.7,"ug/m3 LC",54,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/06/2017","AQS",60711004,3,11.6,"ug/m3 LC",48,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/07/2017","AQS",60711004,3,11.4,"ug/m3 LC",48,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/08/2017","AQS",60711004,3,7.9,"ug/m3 LC",33,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/09/2017","AQS",60711004,3,11.8,"ug/m3 LC",49,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
"01/10/2017","AQS",60711004,3,12.6,"ug/m3 LC",52,"Upland",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",40140,"Riverside-San Bernardino-Ontario, CA",6,"California",71,"San Bernardino",34.10374,-117.62914
