"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Site.ID","Site.Name"
2017-01-01,"AQS","060658001",9,0,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-01,"AQS","060711234",1,0.2,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-01,"AQS","060712002",1,0.6,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-02,"AQS","060658001",9,0.1,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-02,"AQS","060711234",1,0.7,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-02,"AQS","060712002",1,0.4,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-03,"AQS","060658001",9,0.8,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-03,"AQS","060711234",1,0.1,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-03,"AQS","060712002",1,0.6,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-04,"AQS","060658001",9,0.8,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-04,"AQS","060712002",1,0.7,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-05,"AQS","060658001",9,0.5,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-05,"AQS","060710306",1,0.1,"ppb",0,"Victorville-Park Avenue",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-05,"AQS","060711234",1,1.9,"ppb",1,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-05,"AQS","060712002",1,0.5,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-06,"AQS","060658001",9,0,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-06,"AQS","060710306",1,0.1,"ppb",0,"Victorville-Park Avenue",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-06,"AQS","060711234",1,0.1,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-06,"AQS","060712002",1,0.7,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-07,"AQS","060658001",9,0.3,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-07,"AQS","060710306",1,0.3,"ppb",0,"Victorville-Park Avenue",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-07,"AQS","060711234",1,0.2,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-07,"AQS","060712002",1,0.5,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-08,"AQS","060658001",9,0.5,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-08,"AQS","060710306",1,0.2,"ppb",0,"Victorville-Park Avenue",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-08,"AQS","060711234",1,0.2,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-08,"AQS","060712002",1,0.7,"ppb",0,"Fontana",23,0.96,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-09,"AQS","060658001",9,0.1,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-09,"AQS","060710306",1,0.2,"ppb",0,"Victorville-Park Avenue",19,0.79,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-09,"AQS","060711234",1,1,"ppb",1,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-09,"AQS","060712002",1,0.6,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-10,"AQS","060658001",9,0.3,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-10,"AQS","060710306",1,0.1,"ppb",0,"Victorville-Park Avenue",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-10,"AQS","060711234",1,1.2,"ppb",1,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-10,"AQS","060712002",1,0.5,"ppb",0,"Fontana",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-11,"AQS","060658001",9,0,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-11,"AQS","060710306",1,0.2,"ppb",0,"Victorville-Park Avenue",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-11,"AQS","060711234",1,0.9,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
2017-01-11,"AQS","060712002",1,0.7,"ppb",0,"Fontana",21,0.88,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.10002,-117.49201,60712002,"Fontana"
2017-01-12,"AQS","060658001",9,0,"ppb",0,"Rubidoux",24,1,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside",33.9995800008751,-117.41601,60658001,"Rubidoux"
2017-01-12,"AQS","060710306",1,0.3,"ppb",0,"Victorville-Park Avenue",20,0.83,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",34.5109611108812,-117.32554,60710306,"Victorville-Park Avenue"
2017-01-12,"AQS","060711234",1,0.4,"ppb",0,"Trona - Athol/Telescope #2",22,0.92,42401,"Sulfur dioxide",40140,"Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino",35.77446,-117.3721,60711234,"Trona - Athol/Telescope #2"
