"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","060650009","1","0.038","ppm","35","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/02/2022","AQS","060650009","1","0.04","ppm","37","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/03/2022","AQS","060650009","1","0.037","ppm","34","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/04/2022","AQS","060650009","1","0.038","ppm","35","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/05/2022","AQS","060650009","1","0.033","ppm","31","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/06/2022","AQS","060650009","1","0.036","ppm","33","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/07/2022","AQS","060650009","1","0.051","ppm","47","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/08/2022","AQS","060650009","1","0.043","ppm","40","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/09/2022","AQS","060650009","1","0.047","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/10/2022","AQS","060650009","1","0.043","ppm","40","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/11/2022","AQS","060650009","1","0.039","ppm","36","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/12/2022","AQS","060650009","1","0.029","ppm","27","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/13/2022","AQS","060650009","1","0.017","ppm","16","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"01/14/2022","AQS","060650009","1","0.04","ppm","37","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
