"","Year","Month","Average_AQI"
"1",2017,1,45.7096774193548
"2",2017,2,49.8928571428571
"3",2017,3,47.5789473684211
"4",2017,4,52.4
"5",2017,5,56.258064516129
"6",2017,6,68.9
"7",2017,7,73.741935483871
"8",2017,8,74.962962962963
"9",2017,9,62.5333333333333
"10",2017,10,64.5161290322581
"11",2017,11,65.7307692307692
"12",2017,12,55.6451612903226
"13",2018,1,57.7
"14",2018,2,49
"15",2018,3,49.6428571428571
"16",2018,4,60.8666666666667
"17",2018,5,56.5161290322581
"18",2018,6,67.7666666666667
"19",2018,7,71.8846153846154
"20",2018,8,80.0952380952381
"21",2018,9,58
"22",2018,10,34.258064516129
"23",2018,11,35.5666666666667
"24",2018,12,35.2
"25",2019,1,24.5806451612903
"26",2019,2,20.8076923076923
"27",2019,3,20.8387096774194
"28",2019,4,31.3666666666667
"29",2019,5,30.3870967741935
"30",2019,6,48.5
"31",2019,7,57.9032258064516
"32",2019,8,47.2380952380952
"33",2019,9,31.1666666666667
"34",2019,10,37.741935483871
"35",2019,11,43.8333333333333
"36",2019,12,30.2
"37",2020,1,39.258064516129
"38",2020,2,33.2068965517241
"39",2020,3,15.8064516129032
"40",2020,4,28.8
"41",2020,5,42.0645161290323
"42",2020,6,41
"43",2020,7,55.1935483870968
"44",2020,8,54.1333333333333
"45",2020,9,74.6
"46",2020,10,65.3225806451613
"47",2020,11,44.8125
"48",2020,12,33.1290322580645
"49",2021,1,31.8387096774194
"50",2021,2,38.8571428571429
"51",2021,3,24.5806451612903
"52",2021,4,38.7666666666667
"53",2021,5,45.9354838709677
"54",2021,6,44.7
"55",2021,7,56.5483870967742
"56",2021,8,54.6
"57",2021,9,55.8214285714286
"58",2021,10,33.1612903225806
"59",2021,11,56.7333333333333
"60",2021,12,54.0967741935484
"61",2022,1,33.0322580645161
"62",2022,2,23.0357142857143
"63",2022,3,29.4516129032258
"64",2022,4,39.7333333333333
"65",2022,5,49.0322580645161
"66",2022,6,49.8
"67",2022,7,49.6129032258064
"68",2022,8,48.4838709677419
"69",2022,9,45.2666666666667
"70",2022,10,52.0967741935484
"71",2022,11,34.5
"72",2022,12,41.1290322580645
"73",2023,1,32.4516129032258
"74",2023,2,32.5714285714286
"75",2023,3,35.741935483871
